SMILES,active_label
C[C@@H](NC(=O)C1=CC(=CC(=C1)C1=CC=C(C)C=C1)C(C)(C)O)C1=CC=C([N+]([O-])=C1)C(F)(F)F,0
C[C@@H](NC(=O)C1=CC(=CC(=C1)C1=CC=C(C)C=N1)C(C)(C)O)C1=CC=C([N+]([O-])=C1)C(F)(F)F,1
C[C@@H](NC(=O)C1=CC(=CC(=C1)C1=CC=C(C)C=N1)C1=NC=CC=C1F)C1=CC=C(N=C1)C(F)(F)F,0
C[C@@H](NC(=O)C1=CC(=CC(=C1)C1=CC=C(C)C=N1)C(C)(C)O)C1=CC=C(N=C1)C(F)(F)F,0
C[C@@H](NC(=O)C1=CC(=CC(=C1)C1=CC=C(C)C=N1)C1=NC=CC=C1F)C1=CC=C(F)C=[N+]1[O-],0
C[C@@H](NC(=O)C1=CC(=CC(=C1)C1=CC=C(C)C=N1)C1=NC=CC=C1F)C1=CC=C(F)C=N1,0
C[C@@H](NC(=O)C1=CC(=CC(=C1)C1=CC=C(C)C=N1)N1N=CC=N1)C1=CC=C(F)C=N1,0
C[C@@H](NC(=O)C1=CC(=CC(=C1)C1=CC=C(C)C=N1)C(C)(C)O)C1=CC=C(F)C=N1,0
C[C@@H](NC(=O)C1=CC(=CC(=C1)C1=CC=C(C)C=N1)C1=NO[C@@H](C1)C1=CC=CC=N1)C1=CC=C(F)C=N1,0
C[C@@H](NC(=O)C1=CC(=CC(=C1)C1=CC=C(C)C=N1)N1CCOCC1)C1=CC=C(F)C=N1,0
C[C@@H](NC(=O)C1=CC(=CC(=C1)C1=CC=C(C)C=N1)C1=NC=CC=C1F)C1=NC(C)=NO1,0
CN1C(NC2=C(F)C=CC=C2Cl)=NC2=CC(C(=O)NC3=CC=C(C)C=C3F)=C3OC(C)(C)CC3=C12,0
CC1=CC=CC(Cl)=C1NC1=NC2=CC(C(=O)NC3=CC(F)=CC(=C3)C(F)(F)F)=C3OCCOC3=C2N1,0
CC1=CC=CC(Cl)=C1NC1=NC2=CC(C(=O)NC3=CC=C(C=C3)C(F)(F)F)=C3OC(C)(C)CC3=C2N1,0
CC1=CN=C(OC2=CC(Cl)=C(F)C(=C2)C2=CC=C3O[C@@H](CCC(O)=O)CCC3=C2)S1,0
CC1=NC(C)=C(S1)C1=CSC(NC2=CC=C(C=N2)C(=O)N2C3CCC2CN(C3)C2=NC=C(C=N2)C(F)(F)F)=N1,0
CN1C(=N)N[C@]2(CN(C[C@H]2C1=O)C1=NC(C)=C(F)C(C)=N1)C1=CC(=CS1)C1=CC=CC(=C1)C#N,0
CN1N=CC2=C(NC3(CC3)C3=CC=C(C=C3)C(F)(F)F)N=C(C)N=C12,0
CN1N=C(C=C1C1=CN=C2NC(=CC2=C1)C1=C(F)C=CC=C1Cl)C(F)(F)F,0
FC(F)(F)OC1=CC=C(C=C1Cl)C1=NN=C(CCCCC2=CC=C3C=CC=NC3=N2)O1,0
FC(F)(F)C1=C(OC[C@H]2C[C@@H]2C2=CC=C(Cl)C=C2)C=CN2C(CC3CC3)=NN=C12,0
FC(F)(F)C1=CC=C(C=C1)C1(CC1)NC1=C2C=NNC2=NC(Cl)=N1,0
O[C@H]1C2=C(CC1(F)F)C(OC1=CC(=CC(F)=C1)C#N)=CC=C2S(=O)(=O)C(F)F,0
O[C@H]1C2=C(CC1(F)F)C(OC1=CC(=CC(F)=C1)C#N)=CC=C2S(=O)(=O)CF,0
FC(F)(F)C1=CC(=CC=C1)C1=CC=C(OC2=CC=C(C=C2C#N)S(=O)(=O)NC2=NC=NS2)C(=C1)C1=CC=NC(CNCCC2CCNCC2)=C1,1
OC1=C2C(=O)N(CC3=CC=C(F)C(Cl)=C3)CCC2=C2N(C1=O)[C@@]1(CCC3=C1C(=CC=C3)C#N)NC2=O,0
FC1=C(F)C(=CC(CC2=NNC(=O)C3=CC=CC=C23)=C1)C(=O)N1CCN(CC1)C1=NC=CC=C1C#N,0
NC(=O)N1C=C(NC(=O)N2[C@@H]3C[C@@H]3C[C@H]2C(=O)NC2=CC=CC(=C2F)C(F)(F)F)C2=CC=CC=C12,0
NC1=NC(NC2=CC=C(F)C=C2)=NC(OC2=CC=C(F)C=C2)=N1,1
NC1=C2C(OC3=CC=CC(Cl)=C3)=NN(CC3CCNCC3(F)F)C2=NC=N1,0
